,DougD,DavidT,BeckettB,EdL,LizN,SeanF,BPL,DanL,JohnC,LaurieS,KurtF,BradS,BuckB,MattC,DeeC,KenS,AlexT,MaryAnnB,FOL,ChuckC,FuzzH,KristinS,TomB,ScottF,NancyS,MikeB,JonB,PeterK,AdamC,WillM,DerekH,JaclynM,ChrisF,SamC,JohnM,OwenL,HaynesR,JayV,JulieG,EdM,MattD,SarahB,SigN,JKL,LauraR,RolandM,KarlS,JohnJ,Rocket,JoeW
Prairie View A&M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purdue,,,x,x,x,x,,x,,,x,x,,x,,,,,,x,x,,,,,,,,,,,,x,x,,x,,,,,x,x,x,,,,,,,
Saint Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x
Saint Mary's,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,x,,,,,x
Seton Hall,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,x,x,,,,,,,,x,,,,x,,,x,,x,,
St. Johns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syracuse,,,,,,,,,,,,,,,,,,x,,x,,x,,,,,,,,,,,,,,,x,,,x,x,,,,,,,,,x
Temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,x,,x,x,x,,x,,x,x,,,,,x,x,,x,x,,,,,,x,x,,,,,,,,,,,,,,,,x,,x,x,,,x,,
Texas Tech,x,x,,x,x,x,x,,,,,,,,,x,,,,,,,,,,,,x,,x,,,x,x,x,,,x,x,,x,,x,,x,,,,,x
UC Irvine,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,x,,,,,x,,,x,,,,
UCF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Utah State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
VCU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
Villanova,,x,,,,,x,,x,,,,,,x,,,,,,,x,,x,,x,,x,,,x,,,,x,,x,,,x,,,,,,x,x,,,
Virginia,x,x,,x,x,x,x,x,,x,x,,,x,,,x,,,,,,x,x,,,x,,,x,,,x,x,,,,x,,,,,x,,,,,,,
Virginia Tech,x,x,,,x,,x,,,x,x,,x,x,,,,x,,x,x,,,,,,,,x,,,,x,x,x,x,x,,x,x,x,,,x,,,,x,,
Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,,,,,,,,,,,,x,,,,,,,,,x,,,,,x,x,,x,,,,,,,,,x,,x,,x,,,x,,,,,
Wofford,,,,,,,,,,x,,x,x,x,x,,,,,,,,,,,,,,x,,x,,,x,,,,x,,,,x,,x,,,x,,,
Yale,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,x,,,,x,,,,,,,x,,,,,,x,,,,,
